"idplot" "st0" "st1" "yr0" "yr1" "lat" "lon" "annual_pp" "annual_mean_temp" "moose" "deer"
"24" 7000400502 "M" "M" 2008 1997 -71.949696 45.050032 1343.5 4.03 2.41 3.94
"25" 7000400502 "M" "T" 1997 1985 -71.955075 45.050881 1245.5 3.44 2.41 3.94
"26" 7000400601 "T" "T" 1970 1985 -72.366389 45.049297 1073.5 4.965 0 6.17
"27" 7000400601 "T" "T" 1985 1978 -72.366389 45.049297 1095.5 4.655 0 6.17
"28" 7000400601 "T" "M" 1978 2008 -72.366389 45.049297 1169.5 5.24 0 6.17
"29" 7000400601 "M" "R" 2008 1997 -72.366962 45.049615 1214 5.49 0 6.17
"30" 7000400602 "R" "R" 1978 1970 -72.369591 45.046593 1089 4.52 0 6.17
"31" 7000400602 "R" "R" 1970 1985 -72.369591 45.046593 1083 4.885 0 6.17
"32" 7000400701 "M" "M" 1997 2008 -71.627428 45.100977 1333 3.75 2.41 3.94
"33" 7000400701 "M" "R" 2008 1978 -71.627274 45.100888 1272 3.63 2.41 3.94
"34" 7000400701 "R" "R" 1978 1985 -71.627428 45.100977 1170.5 2.975 2.41 3.94
"35" 7000400701 "R" "T" 1985 1970 -71.627428 45.100977 1175.5 3.325 2.41 3.94
"36" 7000400702 "R" "B" 1978 1985 -71.632565 45.099873 1165.5 3.015 2.41 3.94
"37" 7000400702 "B" "R" 1985 1970 -71.632565 45.099873 1170.5 3.365 2.41 3.94
"38" 7000400801 "B" "M" 2008 1978 -72.115889 45.099143 1189 5.02 2.41 3.94
"39" 7000400801 "M" "M" 1978 1970 -72.115997 45.099145 1081.5 4.395 2.41 3.94
"40" 7000400801 "M" "R" 1970 1985 -72.115997 45.099145 1081.5 4.73 2.41 3.94
"41" 7000400802 "M" "M" 1985 1970 -72.121451 45.097969 1085 4.71 2.41 3.94
"42" 7000400802 "M" "M" 1970 1978 -72.121451 45.097969 1084.5 4.375 2.41 3.94
"43" 7000400901 "T" "T" 1978 1970 -72.498435 45.115856 1290 2.58 0 6.17
"44" 7000400901 "T" "T" 1970 1985 -72.498435 45.115856 1310.5 2.86 0 6.17
"45" 7000400901 "T" "M" 1985 1997 -72.498435 45.115856 1403 2.66 0 6.17
"46" 7000400902 "T" "M" 1997 1978 -72.493486 45.114696 1383 2.38 0 6.17
"47" 7000400902 "M" "M" 1978 1985 -72.493486 45.114696 1342.5 2.49 0 6.17
"48" 7000400902 "M" "M" 1985 1970 -72.493486 45.114696 1310.5 2.86 0 6.17
"49" 7000401001 "R" "R" 2008 1997 -71.56785 45.149433 1307 3.925 2.41 3.94
"50" 7000401001 "R" "B" 1997 1985 -71.567467 45.150058 1207 3.25 2.41 3.94
"51" 7000401002 "M" "T" 1997 1985 -71.570334 45.153091 1208 3.25 2.41 3.94
"52" 7000401002 "T" "T" 1985 1978 -71.570334 45.153091 1153.5 3.145 2.41 3.94
"53" 7000401102 "R" "R" 1970 1978 -71.915417 45.14713 1106 3.895 2.41 3.94
"54" 7000401201 "T" "T" 1978 1970 -72.233222 45.16637 1106.5 4.345 2.41 3.94
"55" 7000401201 "T" "T" 1970 1985 -72.233222 45.16637 1119.5 4.65 2.41 3.94
"56" 7000401201 "T" "T" 1985 1997 -72.233222 45.16637 1182 4.535 2.41 3.94
"57" 7000401202 "T" "T" 1985 1970 -72.232925 45.17056 1101.5 4.81 2.41 3.94
"58" 7000401202 "T" "T" 1970 1978 -72.232925 45.17056 1088.5 4.505 2.41 3.94
"59" 7000401202 "T" "R" 1978 2008 -72.232925 45.17056 1187 5.125 2.41 3.94
"60" 7000401202 "R" "T" 2008 1997 -72.233233 45.170293 1226.5 5.345 2.41 3.94
"61" 7000401301 "R" "B" 1997 2008 -71.416823 45.18451 1274.5 4.075 1.48 4.54
"62" 7000401301 "B" "B" 2008 1978 -71.416534 45.183909 1227 3.97 1.48 4.54
"63" 7000401301 "B" "R" 1978 1985 -71.416823 45.18451 1111 3.285 1.48 4.54
"64" 7000401301 "R" "B" 1985 1970 -71.416823 45.18451 1118 3.58 1.48 4.54
"65" 7000401302 "B" "B" 1985 1978 -71.418855 45.181083 1115 3.25 1.48 4.54
"66" 7000401401 "M" "R" 1985 1970 -71.932963 45.199735 1119.5 4.31 2.41 3.94
"67" 7000401401 "R" "M" 1970 1978 -71.932963 45.199735 1098.5 4.05 2.41 3.94
"68" 7000401401 "M" "M" 1978 2008 -71.932963 45.199735 1214.5 4.655 2.41 3.94
"69" 7000401401 "M" "M" 2008 1997 -71.932617 45.20018 1257.5 4.84 2.41 3.94
"70" 7000401402 "M" "M" 1978 1997 -71.927518 45.200892 1151 3.905 2.41 3.94
"71" 7000401402 "M" "M" 1997 2008 -71.927518 45.200892 1258 4.83 2.41 3.94
"72" 7000401501 "T" "T" 1978 1970 -71.982814 45.229398 1042 4.62 2.41 3.94
"73" 7000401501 "T" "T" 1970 1985 -71.982814 45.229398 1057 4.905 2.41 3.94
"74" 7000401501 "T" "T" 1985 1997 -71.982814 45.229398 1104 4.815 2.41 3.94
"75" 7000401501 "T" "T" 1997 2008 -71.982814 45.229398 1191.5 5.475 2.41 3.94
"76" 7000401502 "M" "M" 1970 1985 -71.983057 45.232868 1058 4.9 2.41 3.94
"77" 7000401502 "M" "M" 1985 1978 -71.983057 45.232868 1070.5 4.575 2.41 3.94
"78" 7000401502 "M" "M" 1978 2008 -71.983057 45.232868 1157.5 5.24 2.41 3.94
"79" 7000401502 "M" "M" 2008 1997 -71.983108 45.232868 1192 5.475 2.41 3.94
"80" 7000401601 "T" "T" 1997 2008 -72.000318 45.250937 1237 5.085 2.41 3.94
"81" 7000401601 "T" "T" 2008 1978 0 0 1201 4.875 2.41 3.94
"82" 7000401601 "T" "T" 1978 1970 -72.000447 45.250903 1087.5 4.275 2.41 3.94
"83" 7000401601 "T" "T" 1970 1985 -72.000447 45.250903 1110 4.535 2.41 3.94
"84" 7000401602 "T" "T" 2008 1997 0 0 1237 5.08 2.41 3.94
"85" 7000401602 "T" "T" 1997 1985 -72.000585 45.254828 1161.5 4.41 2.41 3.94
"86" 7000401602 "T" "T" 1985 1970 -72.000538 45.25471 1111 4.53 2.41 3.94
"87" 7000401602 "T" "T" 1970 1978 -72.000538 45.25471 1087.5 4.27 2.41 3.94
"88" 7000401701 "B" "B" 1985 1970 -72.099037 45.267111 1112 4.65 2.41 3.94
"89" 7000401701 "B" "R" 1970 2008 -72.099037 45.267111 1177 5.325 2.41 3.94
"90" 7000401702 "B" "B" 1997 2008 -72.098833 45.262969 1241 5.105 2.41 3.94
"91" 7000401801 "M" "M" 1997 2008 -71.450055 45.300296 1248 4.465 1.48 4.54
"92" 7000401801 "M" "T" 2008 1978 -71.450298 45.300357 1217.5 4.305 1.48 4.54
"93" 7000401801 "T" "T" 1978 1970 -71.450055 45.300296 1069 3.745 1.48 4.54
"94" 7000401801 "T" "T" 1970 1985 -71.450055 45.300296 1105.5 3.89 1.48 4.54
"95" 7000401802 "M" "M" 1997 2008 -71.44679 45.303329 1248 4.465 1.48 4.54
"96" 7000401802 "M" "R" 2008 1978 -71.447023 45.303534 1218 4.31 1.48 4.54
"97" 7000401802 "R" "R" 1978 1985 -71.44679 45.303329 1104.5 3.62 1.48 4.54
"98" 7000401802 "R" "M" 1985 1970 -71.44679 45.303329 1105 3.89 1.48 4.54
"99" 7000401901 "T" "T" 2008 1997 -71.498326 45.300802 1279.5 4.23 1.48 4.54
"100" 7000401901 "T" "R" 1997 1985 -71.498938 45.300797 1178.5 3.53 1.48 4.54
"101" 7000401901 "R" "T" 1985 1970 -71.498938 45.300797 1145.5 3.68 1.48 4.54
"102" 7000401901 "T" "R" 1970 1978 -71.498938 45.300797 1101.5 3.565 1.48 4.54
"103" 7000401902 "R" "R" 1978 1985 -71.495105 45.298185 1150.5 3.355 1.48 4.54
"104" 7000401902 "R" "M" 1985 1997 -71.495105 45.298185 1184.5 3.47 1.48 4.54
"105" 7000402001 "B" "B" 2008 1985 -71.883354 45.29973 1195 5.305 2.41 3.94
"106" 7000402001 "B" "B" 1985 1970 -71.883031 45.299536 1074 4.7 2.41 3.94
"107" 7000402001 "B" "B" 1970 1978 -71.883031 45.299536 1052 4.45 2.41 3.94
"108" 7000402002 "M" "M" 1978 1970 -71.87983 45.302652 1039.5 4.55 2.41 3.94
"109" 7000402002 "M" "T" 1970 1985 -71.87983 45.302652 1060 4.805 2.41 3.94
"110" 7000402002 "T" "T" 1985 1997 -71.87983 45.302652 1100 4.72 2.41 3.94
